IDHIP;MIEMBRO
10540;0
10672;1
12031;?
12709;1
13042;?
13117;1
13600;1
13684;0
13806;1
13834;1
13976;1
14792;0
14838;1
14976;1
15206;0
15300;1
15304;1
15310;1
15368;?
15374;?
15532;0
15563;1
15720;1
16329;0
16377;?
16529;1
16548;1
16896;0
16908;1
17128;0
17324;0
17605;0
17609;1
17766;1
17779;0
17950;?
17962;1
18018;1
18096;1
18170;1
18322;1
18327;1
18617;?
18658;1
18692;1
18719;0
18735;1
18946;1
18975;0
19082;1
19098;1
19117;0
19148;1
19207;1
19261;1
19263;1
19316;1
19365;1
19386;1
19441;1
19449;?
19472;0
19481;0
19504;1
19554;1
19572;0
19591;1
19641;0
19696;0
19767;0
19781;1
19786;1
19789;1
19793;1
19796;1
19808;1
19834;1
19862;1
19870;1
19877;1
19934;1
19981;0
20019;1
20056;1
20082;1
20086;1
20087;1
20130;1
20146;1
20187;1
20197;0
20205;1
20215;1
20219;1
20226;0
20237;1
20255;1
20261;1
20284;1
20319;?
20349;1
20350;1
20357;1
20400;1
20415;0
20419;1
20440;1
20441;1
20455;1
20480;1
20482;1
20484;1
20485;1
20491;1
20492;1
20527;1
20540;0
20542;1
20553;1
20557;1
20563;1
20567;1
20577;1
20601;1
20605;1
20614;1
20626;?
20635;1
20641;1
20648;1
20661;1
20679;1
20686;1
20693;0
20711;1
20712;1
20713;1
20719;1
20741;1
20745;1
20751;1
20762;1
20810;0
20815;1
20826;1
20827;1
20842;1
20850;1
20873;1
20885;1
20889;1
20890;1
20894;1
20899;1
20901;1
20916;1
20935;1
20948;1
20949;1
20951;1
20952;0
20978;1
20995;1
21008;1
21019;0
21029;1
21036;1
21039;1
21053;1
21066;1
21092;?
21099;1
21112;1
21123;1
21137;1
21138;1
21152;1
21179;1
21194;0
21256;1
21261;1
21267;1
21273;1
21280;1
21306;0
21317;1
21332;0
21353;0
21395;0
21459;1
21474;1
21475;0
21482;1
21543;1
21588;1
21589;1
21637;1
21654;1
21670;1
21673;0
21683;1
21684;0
21723;1
21741;1
21762;1
21788;1
21829;0
21923;0
21946;0
21983;0
22044;1
22105;0
22157;1
22176;0
22177;1
22203;1
22221;1
22224;1
22253;1
22265;1
22271;1
22350;1
22380;1
22394;1
22422;1
22446;0
22496;1
22505;1
22524;1
22550;1
22565;1
22566;1
22607;1
22654;1
22684;0
22751;0
22782;0
22805;0
22850;1
22893;0
23044;1
23056;0
23069;1
23205;?
23214;1
23312;1
23409;0
23497;1
23498;1
23574;0
23589;0
23599;0
23662;?
23701;1
23750;1
23772;1
23983;1
24019;1
24020;0
24021;?
24035;0
24046;0
24116;1
24923;1
25141;0
25639;1
25694;?
25871;?
25929;0
26159;?
26227;0
26382;1
26795;0
26844;?
27431;?
27502;0
27791;?
27933;0
28356;1
28469;1
28614;0
28774;?
